column,raw_value,count,missing_kind
case_num,1,1,
case_num,10,1,
case_num,100,1,
case_num,1000,1,
case_num,1001,1,
case_num,1002,1,
case_num,1003,1,
case_num,1004,1,
case_num,1005,1,
case_num,1006,1,
case_num,1007,1,
case_num,1008,1,
case_num,1009,1,
case_num,101,1,
case_num,1010,1,
case_num,1011,1,
case_num,102,1,
case_num,103,1,
case_num,104,1,
case_num,105,1,
case_num,106,1,
case_num,107,1,
case_num,108,1,
case_num,109,1,
case_num,11,1,
case_num,110,1,
case_num,111,1,
case_num,112,1,
case_num,113,1,
case_num,114,1,
case_num,115,1,
case_num,116,1,
case_num,117,1,
case_num,118,1,
case_num,119,1,
case_num,12,1,
case_num,120,1,
case_num,121,1,
case_num,122,1,
case_num,123,1,
case_num,124,1,
case_num,125,1,
case_num,126,1,
case_num,127,1,
case_num,128,1,
case_num,129,1,
case_num,13,1,
case_num,130,1,
case_num,131,1,
case_num,132,1,
case_num,133,1,
case_num,134,1,
case_num,135,1,
case_num,136,1,
case_num,137,1,
case_num,138,1,
case_num,139,1,
case_num,14,1,
case_num,140,1,
case_num,141,1,
case_num,142,1,
case_num,143,1,
case_num,144,1,
case_num,145,1,
case_num,146,1,
case_num,147,1,
case_num,148,1,
case_num,149,1,
case_num,15,1,
case_num,150,1,
case_num,151,1,
case_num,152,1,
case_num,153,1,
case_num,154,1,
case_num,155,1,
case_num,156,1,
case_num,157,1,
case_num,158,1,
case_num,159,1,
case_num,16,1,
case_num,160,1,
case_num,161,1,
case_num,162,1,
case_num,163,1,
case_num,164,1,
case_num,165,1,
case_num,166,1,
case_num,167,1,
case_num,168,1,
case_num,169,1,
case_num,17,1,
case_num,170,1,
case_num,171,1,
case_num,172,1,
case_num,173,1,
case_num,174,1,
case_num,175,1,
case_num,176,1,
case_num,177,1,
case_num,178,1,
case_num,179,1,
case_num,18,1,
case_num,180,1,
case_num,181,1,
case_num,182,1,
case_num,183,1,
case_num,184,1,
case_num,185,1,
case_num,186,1,
case_num,187,1,
case_num,188,1,
case_num,189,1,
case_num,19,1,
case_num,190,1,
case_num,191,1,
case_num,192,1,
case_num,193,1,
case_num,194,1,
case_num,195,1,
case_num,196,1,
case_num,197,1,
case_num,198,1,
case_num,199,1,
case_num,2,1,
case_num,20,1,
case_num,200,1,
case_num,201,1,
case_num,202,1,
case_num,203,1,
case_num,204,1,
case_num,205,1,
case_num,206,1,
case_num,207,1,
case_num,208,1,
case_num,209,1,
case_num,21,1,
case_num,210,1,
case_num,211,1,
case_num,212,1,
case_num,213,1,
case_num,214,1,
case_num,215,1,
case_num,216,1,
case_num,217,1,
case_num,218,1,
case_num,219,1,
case_num,22,1,
case_num,220,1,
case_num,221,1,
case_num,222,1,
case_num,223,1,
case_num,224,1,
case_num,225,1,
case_num,226,1,
case_num,227,1,
case_num,228,1,
case_num,229,1,
case_num,23,1,
case_num,230,1,
case_num,231,1,
case_num,232,1,
case_num,233,1,
case_num,234,1,
case_num,235,1,
case_num,236,1,
case_num,237,1,
